file	line	text	context
001.“缇萦救父”表示了什么？.txt	21	美好者，不祥之器。	太史公曰：女无美恶，居宫见妒；士无贤不肖，入朝见疑。故扁鹊以其技见殃；仓公乃匿迹自隐而当刑。缇萦通尺牍，父得以后宁。故老子曰：“美好者，不祥之器。”岂谓扁鹊等邪？若仓公者，可谓近之矣！
001.“缇萦救父”表示了什么？.txt	23	匿迹自隐	在这里，《史记》作者进一步告诉我们，淳于意想在乱世里“匿迹自隐”而不可得，最后还是在劫难逃，被捉进官里，要受“肉刑”。
001.“缇萦救父”表示了什么？.txt	23	肉刑	在这里，《史记》作者进一步告诉我们，淳于意想在乱世里“匿迹自隐”而不可得，最后还是在劫难逃，被捉进官里，要受“肉刑”。
001.“缇萦救父”表示了什么？.txt	29	身体刑	在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！
001.“缇萦救父”表示了什么？.txt	29	体刑	在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！
001.“缇萦救父”表示了什么？.txt	29	肉刑	在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！
001.“缇萦救父”表示了什么？.txt	29	科学方法	在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！
001.“缇萦救父”表示了什么？.txt	29	威武不能屈	在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！
001.“缇萦救父”表示了什么？.txt	29	鼎镬甘如饴	在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！
001.“缇萦救父”表示了什么？.txt	35	枭首	除了杀头以外，其他的死法就开始耍花样。像“枭首”（头挂高竿。传说是黄帝对付蚩尤的方法，资格自然最老。也是《法门寺》刘瑾的方法）、像“腰斩”（拦腰一刀。受刑人要“解衣伏质”，质是大铁砧，上面有铡刀，类似法国的断头台。但该叫断腰台。汉朝张苍被腰斩，解衣露出一身白肉，人人看了，觉得可惜）、像“磔”（大卸八块至N块。裂其肢体而杀之，伍子胥的死法）、像“车裂”（五马分尸。秦始皇对付妈妈情夫的方法、商鞅的死法）、像“凌迟”（杀千刀，千刀万剐。《水浒传》王婆的死法、袁崇焕的死法）……这些还算是法有明文的。至于法律以外的，那就更千奇百怪，像“烹”、“镬烹”、“大镬”、“肆”、“醢”、“菹醢”、“焚如”、“笞杀”、“棒杀”、“鞭杀”、“长锯”、“剉碓”、“污潴”、“枭菹”、“脔噉”、“殊死”、“凿颠”、“囊扑”、“投高崖”、“射鬼箭”、“生瘗”、“炮掷”、“支解”，“锁头拉死”等等等等，无法无天，写也写不完。
001.“缇萦救父”表示了什么？.txt	35	腰斩	除了杀头以外，其他的死法就开始耍花样。像“枭首”（头挂高竿。传说是黄帝对付蚩尤的方法，资格自然最老。也是《法门寺》刘瑾的方法）、像“腰斩”（拦腰一刀。受刑人要“解衣伏质”，质是大铁砧，上面有铡刀，类似法国的断头台。但该叫断腰台。汉朝张苍被腰斩，解衣露出一身白肉，人人看了，觉得可惜）、像“磔”（大卸八块至N块。裂其肢体而杀之，伍子胥的死法）、像“车裂”（五马分尸。秦始皇对付妈妈情夫的方法、商鞅的死法）、像“凌迟”（杀千刀，千刀万剐。《水浒传》王婆的死法、袁崇焕的死法）……这些还算是法有明文的。至于法律以外的，那就更千奇百怪，像“烹”、“镬烹”、“大镬”、“肆”、“醢”、“菹醢”、“焚如”、“笞杀”、“棒杀”、“鞭杀”、“长锯”、“剉碓”、“污潴”、“枭菹”、“脔噉”、“殊死”、“凿颠”、“囊扑”、“投高崖”、“射鬼箭”、“生瘗”、“炮掷”、“支解”，“锁头拉死”等等等等，无法无天，写也写不完。
001.“缇萦救父”表示了什么？.txt	35	解衣伏质	除了杀头以外，其他的死法就开始耍花样。像“枭首”（头挂高竿。传说是黄帝对付蚩尤的方法，资格自然最老。也是《法门寺》刘瑾的方法）、像“腰斩”（拦腰一刀。受刑人要“解衣伏质”，质是大铁砧，上面有铡刀，类似法国的断头台。但该叫断腰台。汉朝张苍被腰斩，解衣露出一身白肉，人人看了，觉得可惜）、像“磔”（大卸八块至N块。裂其肢体而杀之，伍子胥的死法）、像“车裂”（五马分尸。秦始皇对付妈妈情夫的方法、商鞅的死法）、像“凌迟”（杀千刀，千刀万剐。《水浒传》王婆的死法、袁崇焕的死法）……这些还算是法有明文的。至于法律以外的，那就更千奇百怪，像“烹”、“镬烹”、“大镬”、“肆”、“醢”、“菹醢”、“焚如”、“笞杀”、“棒杀”、“鞭杀”、“长锯”、“剉碓”、“污潴”、“枭菹”、“脔噉”、“殊死”、“凿颠”、“囊扑”、“投高崖”、“射鬼箭”、“生瘗”、“炮掷”、“支解”，“锁头拉死”等等等等，无法无天，写也写不完。
